In Millions of USD except Per Share,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
  Commercial Portfolio,,—,,38,0.535211267605634,103,1.90740740740741,-95,-1.41791044776119,4,0.173913043478261,-2,-0.0465116279069767,3,0.107142857142857,1,0.03125,3,0.12,3,0.06,3,0.111111111111111,2,0.0769230769230769,3,0.125,2,0.0869565217391304,3,0.130434782608696,1,0.037037037037037,2,0.0833333333333333,1,0.0434782608695652,1,0.04,3,0.0789473684210526,2,0.0909090909090909,3,0.136363636363636,1,0.04,2,0.0869565217391304,2,0.0869565217391304,3,0.12,3,0.130434782608696,3,0.142857142857143,16,0.457142857142857,14,0.4,17,0.361702127659574,10,0.4,13,0.317073170731707,10,0.25,2,0.0454545454545455,7,0.205882352941176,0,,0,
  Field Services,,83,1.27692307692308,-23,-0.323943661971831,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Natural Gas Transmission,,36,0.553846153846154,44,0.619718309859155,12,0.222222222222222,8,0.119402985074627,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Crescent,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue Including Intersegment Revenue,,5393,1.0,5345,1.0,3082,1.0,3038,1.0,1643,1.0,2946,1.0,3307,1.0,2837,1.0,3060,1.0,3016,1.0,3715,1.0,3057,1.0,3361,1.0,3252,1.0,3531,1.0,3160,1.0,3336,1.0,2936,1.0,3421,1.0,3140,1.0,3619,1.0,3309,1.0,3971,1.0,3468,1.0,3686,1.0,3559,1.0,3987,1.0,3389,1.0,3665,1.0,3612,1.0,6769,1.0,5735,1.0,5939,1.0,5919,1.0,6261,1.0,6146,1.0,6293,1.0,5740,1.0
  Regulated Utilities,,1265,0.234563322825885,1234,0.230869971936389,1619,0.525308241401687,1314,0.432521395655036,1292,0.786366402921485,2130,0.723014256619145,2482,0.750529180526157,2194,0.773352132534367,2399,0.783986928104575,2249,0.745689655172414,2756,0.74185733512786,2336,0.764147857376513,2601,0.773876822374293,2402,0.738622386223862,2698,0.764089493061456,2458,0.777848101265823,2508,0.751798561151079,2149,0.731948228882834,2500,0.730780473545747,2276,0.72484076433121,2676,0.739430781983973,2422,0.731943185252342,2944,0.741374968521783,2555,0.736735870818916,2683,0.727889310906131,2549,0.716212419218882,2926,0.73388512666165,2461,0.726172912363529,2668,0.727967257844475,2697,0.746677740863787,5842,0.863052149505097,4873,0.849694856146469,5060,0.851995285401583,4920,0.831221490116574,5786,0.924133524996007,5144,0.836967133094696,5805,0.922453519783887,5283,0.920383275261324
  International Energy,,168,0.0311514926756907,182,0.0340505144995323,186,0.0603504218040234,209,0.0687952600394997,227,0.138161898965307,245,0.08316361167685,233,0.0704566071968552,238,0.0838914346140289,245,0.0800653594771242,261,0.0865384615384615,276,0.0742934051144011,278,0.0909388289172391,289,0.0859863135971437,334,0.102706027060271,297,0.0841121495327103,265,0.0838607594936709,255,0.0764388489208633,271,0.0923024523160763,293,0.0856474714995615,339,0.10796178343949,336,0.0928433268858801,310,0.0936838924146268,273,0.0687484260891463,285,0.0821799307958477,348,0.0944112859468258,406,0.114076987917954,360,0.090293453724605,353,0.104160519327235,402,0.10968622100955,397,0.109911406423034,382,0.0564337420593884,368,0.0641673931996513,392,0.0660043778413874,406,0.0685926676803514,370,0.0590959910557419,198,0.0322160754962577,382,0.0607023677101541,364,0.0634146341463415
  Commercial Portfolio,,—,,36,0.00673526660430309,78,0.0253082414016872,28,0.00921658986175115,16,0.00973828362751065,447,0.15173116089613,497,0.150287269428485,371,0.130771942192457,380,0.124183006535948,451,0.149535809018568,643,0.173082099596231,407,0.133137062479555,450,0.133888723594168,481,0.147908979089791,498,0.141036533559898,397,0.125632911392405,537,0.160971223021583,474,0.161444141689373,609,0.178018123355744,494,0.157324840764331,579,0.15998894722299,540,0.163191296464189,737,0.185595567867036,592,0.170703575547866,644,0.174715138361367,595,0.167181792638382,687,0.172310007524454,565,0.166715845382119,580,0.158253751705321,502,0.138981173864895,525,0.077559462254395,471,0.0821272885789015,452,0.0761070887354773,557,0.0941037337388072,58,0.00926369589522441,766,0.124633908232997,81,0.0128714444621007,64,0.0111498257839721
  Other,,47,0.00871500092712776,145,0.0271281571562208,225,0.073004542504867,42,0.0138248847926267,37,0.0225197808886184,39,0.0132382892057026,29,0.00876927729059571,35,0.0123369756785337,36,0.0117647058823529,55,0.018236074270557,40,0.0107671601615074,36,0.0117762512266928,21,0.00624814043439453,35,0.0107626076260763,38,0.010761823845936,40,0.0126582278481013,36,0.0107913669064748,42,0.0143051771117166,19,0.00555393159894768,31,0.00987261146496815,28,0.00773694390715667,37,0.0111816258688426,17,0.00428103752203475,36,0.0103806228373702,11,0.00298426478567553,9,0.00252880022478224,14,0.00351141208929019,10,0.00295072292711714,15,0.00409276944065484,16,0.0044296788482835,20,0.00295464618111981,23,0.0040104620749782,35,0.00589324802155245,36,0.00608210846426761,47,0.00750678805302667,38,0.00618288317604946,25,0.00397266804385826,29,0.00505226480836237
  Field Services,,2658,0.492861116261821,2872,0.53732460243218,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
