Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
CSX Corp (CSX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/26/2003,,12/31/2004,,12/30/2005,,12/29/2006,,12/28/2007,,12/26/2008,,12/25/2009,,12/31/2010,,12/30/2011,,12/28/2012,,12/27/2013,,12/26/2014,,12/25/2015,,12/30/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
    Agriculture & Food Product,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,463000,0.078581126951799,467000,0.0746841516072285,481000,0.077356063042779,468000,0.0761966786063172
    Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,344000,0.0583842498302784,318000,0.0508555893171278,338000,0.0543583145706015,388000,0.06317160534028
    Minerals,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,321000,0.0544806517311609,325000,0.051975051975052,337000,0.0541974911547121,358000,0.0582872028655161
    Forest Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,278000,0.0471826205023761,296000,0.0473372781065089,291000,0.0467996140238019,284000,0.0462390100944318
    Metal & Equipment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,239000,0.0405634758995248,277000,0.0442987366064289,267000,0.0429398520424574,282000,0.0459133832627809
    Fertilizers,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,226000,0.038357094365241,229000,0.0366224212378059,203000,0.0326471534255388,199000,0.0323998697492673
  Coal,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,637000,0.108112695179905,706000,0.112905805213498,697000,0.112093920874879,755000,0.122924128948225
  Trucking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,
  Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,
Operating Income,,520,1.0,1000,1.0,1550,1.0,2138,1.0,2256,1.0,2768,1.0,2270,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Adjustment,,-131,,—,,—,,—,,—,,—,,-15,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Surface Transportation,,651,1.0,993,0.993,1549,0.999354838709677,2126,0.994387277829748,2251,0.997783687943262,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other,,0,,7,0.007,1,0.000645161290322581,12,0.00561272217025257,5,0.00221631205673759,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Intermodal,,110,0.168970814132104,152,0.152,248,0.16,268,0.125350795135641,260,0.115248226950355,290,0.104768786127168,162,0.0708971553610503,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Rail,,541,0.831029185867896,841,0.841,1301,0.839354838709677,1858,0.869036482694107,1991,0.882535460992908,2478,0.895231213872832,2123,0.92910284463895,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue Per Unit,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Coal,,—,,1281,,1150,,1257,,1398,,1748,,1756,,2077,,2419,,2473,,2423,,2258,,2164,,2187,,2464,,2532,,2456,,2193,,2535,,3492,,3301,
    Coal,,—,,1034,,1154,,1256,,1402,,1748,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4048,
    Coke and Iron Ore,,—,,929,,1060,,1266,,1319,,1750,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3589,
  Merchandise,,—,,1337,,1464,,1681,,1845,,2155,,2085,,2236,,2375,,2495,,2548,,2595,,2542,,2549,,2616,,2774,,2803,,2791,,2932,,3221,,3541,
    Chemicals,,—,,1895,,2043,,2292,,2515,,2949,,2988,,3221,,3455,,3571,,3564,,3513,,3146,,3130,,3289,,3465,,3507,,3477,,3674,,4031,,3229,
    Agriculture & Food Product,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2674,,2696,,2780,,2922,,3006,,2994,,3128,,3459,,3142,
    Forest Products,,—,,1467,,1633,,1913,,2051,,2305,,2120,,2264,,2434,,2524,,2601,,2668,,2745,,2821,,2860,,2982,,3049,,3000,,3101,,3423,,2593,
    Automotive,,—,,1643,,1730,,1829,,1911,,2286,,2184,,2353,,2593,,2715,,2817,,2789,,2611,,2616,,2615,,2737,,2711,,2674,,2786,,3118,,2047,
    Metal & Equipment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2546,,2718,,2746,,2880,,2988,,2824,,2874,,3101,,—,
    Fertilizers,,—,,724,,791,,978,,1163,,1380,,1291,,1486,,1526,,1595,,1612,,1618,,1625,,1543,,1601,,1782,,1774,,1832,,2052,,2241,,—,
    Minerals,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1515,,1571,,1567,,1500,,1497,,1549,,1644,,1642,,1676,,1806,,1953,,—,
    Waste & Equipment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1899,,1760,,1956,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Emerging Markets,,—,,994,,1016,,1107,,1232,,1466,,1444,,1471,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
