Total Assets,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,763,801,765,688,819,737,670,604,661,696,677,651,700,684,-2035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5107,0,0,0,5060,-301,-5844,849,14597,25,17928,1093,5151,5109,5229,1156,5787,5901,5497,871,5203,5127,5118,4943,5144,
Operating Income (Loss),IS_OPER_INC,135.031,149.719,145.475,195.359,226.265,189.73,148.188,146.472,118.459,149.735,67.868,333.786,152.027,165.673,145.12,799.595,197.624,250.525,158.858,383.801,196.4,195.4,203.7,354.1,243.1,297.5,296.4,484.5,393.2,389.4,385.8,664.8,393,491,423,701,512,501,279,-73,602,409,466,237,728,626,-1157,244,1368,1612,1478,1349,1731,1978,1934,3590,2361,1878,1963,5218,1862,2094,733,7723,3838,3911,4627,5576,4387,5133,7185,4778,1780,4807,1848,463,-2055,5301,5333,4965,5691,3575,5202,7141,2892,5927,4032,5127,5622,5311,6628,7419,7981,7582,8084,7950,7380,9740,7567,6697,8522,6813,14937,8311,7389,7893,11343,9674,6474,7283,6558,4895,-949,15728,23781,-28539,28470,18627,20830,37554,-62325,36668,38640,46136,15327,36650,13163,49832,7652,-54425,-3581,22343,45282,46173,-15961,47702,16529,39115,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,1077,,,,,,,,,,,,35,,,,314,,,,352,,,,,488,510,494,500,593,637,668,660,658,662,669,675,691,696,692,665,686,691,706,718,782,824,817,856,875,967,865,930,933,521,818,360,786,1154,928,-1496,574,630,634,4182,823,868,341,753,724,1259,710,733,799,929,679,879,695,883,677,234,530,738,998,764,823,978,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,33,32,35,,,34,38,-768,,,,49,,,,,,,,183,,,31,422,30,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Interest Expense,IS_INT_EXPENSE,25.87,28.164,28.112,30.546,29.005,28.669,27.425,36.748,37.397,24.616,30.034,32.449,18.039,18.482,21.025,23.203,23.974,23.457,22.105,,13.2,13.4,14,18.7,26.3,26.9,26.5,20,28.1,27.3,28.6,27.9,27,27,28,27,33,32,35,34,33,34,38,39,60,57,254,49,194,175,176,180,132,124,98,183,233,35,31,422,30,40,39,35,225,309,326,314,315,317,338,352,327,336,346,315,488,510,494,500,593,637,668,660,658,662,669,675,691,696,692,665,686,691,706,718,782,824,817,830,875,967,865,808,1173,727,1043,798,1067,1500,1233,586,975,957,950,971,991,992,985,993,1024,1002,1000,1057,1050,1076,1056,990,1034,1087,1092,1139,1218,1249,1260,1276,1316,1230,
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,,,,913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1056,-1399,-981,,-1001,-1543,-1084,,-951,-1501,-957,,-1090,-1338,-1046,,-1149,-1236,-1043,-1094,-1132,-1284,-1248,-1201,-1213,-1399,-1446,-1460,-1487,-1654,-1789,-1685,-1648,-1615,-1223,-1474,-1414,-1459,-1339,-1450,-1364,-2284,-1683,-2403,-2392,-2918,-2948,-3361,-3164,-4077,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,-38,-39,,-54,-94,-123,,-128,-90,-112,,-138,-71,,,-141,-100,-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-240,-206,-225,-438,-281,-346,-305,-2082,-401,-327,-316,3211,-168,-124,-644,-240,-300,257,-290,-324,-251,-147,-377,-111,-339,-204,-415,-905,-688,-511,-262,-512,-493,-252,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1056,1399,981,0,1001,1543,1084,0,951,1501,957,26,1090,1338,1046,122,1149,1236,1043,1094,1132,1284,1248,1201,1213,1399,1446,1460,1487,1654,1789,1685,1648,1615,1223,1474,1414,1459,1339,1450,1364,2284,1683,2403,2392,2918,2948,3361,3164,4077,
"Pretax Income (Loss), Adjusted",PRETAX_INC,109.233,123.004,118.349,165.88,198.432,162.735,121.993,109.826,82.663,127.035,39.821,301.098,135.193,149.286,125.763,779.476,175.81,227.578,138.118,111.266,175.9,263.7,256.5,388.3,2556.5,263.4,366,520,397.8,397.6,539.7,1492.5,1089,1815,548,862,882,865,669,34,1305,1114,1376,1792,957,1267,-1046,291,1390,0,1648,1790,2550,3335,2582,3525,2266,0,1794,4962,1973,2154,835,7829,3613,3602,4301,5262,4072,4816,6847,4426,1453,4471,1502,148,-2543,4791,4839,4465,5098,2938,4534,6481,2234,5265,3363,4452,4931,4615,5936,6754,7295,6891,7378,7232,6598,8916,6750,5841,7647,5846,14072,7381,6456,7372,10525,9314,5688,6129,5630,6391,-1523,15098,23147,-32721,27647,17759,20489,36801,-63049,35409,37930,45403,14528,35721,12484,48953,6957,-55308,-4258,22109,44752,45435,-16959,46938,15706,38137,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4983,-2360,-1817,-1623,-1729,1793,-312,-2098,136,-1105,2351,-552,-896,943,-799,-2673,-1711,-953,-2141,-1868,-1367,-2521,118,-311,-1415,-188,-7502,-1242,-1040,-663,-3608,-2993,-775,-225,-965,-163,8015,-6362,-14706,38508,-20322,-10048,-10655.1139,-31146.8861,70275,-29447,-31557,-39342,-5700,-27394,-4921,-40199.1519,1978,66919,13465,-14264.2658,-34758,-33061,29778,-36654.5063,-1876,-23857,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1002,1068,118,-2147,-1206,-461,-427,-514,-236,-155,-258,143,-1318,174,764,-594,810,-20,-458,-1083,-460,65,-308,-15,206,-372,-137,603,-770,-213,-234,-267,1393,-796,43,-481,-489,-221,-70,-186,243,65,-35,3,0,0,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,270.8861,254.1139,,638,25,-21,,,,327.8481,,,,198.7342,,,,159.4937,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4983,-2360,-1817,-1623,-1729,1793,-312,-2098,136,-1105,2351,-552,106,-125,-917,-526,-505,-492,-1714,-1354,-1131,-2366,376,-454,-97,-362,-8266,-648,-1850,-643,-3150,-1910,-315,-290,-657,-148,7809,-5990,-14569,34905,-19552,-9835,-10692,-31044,68882,-39289,-31625,-38873,-5211,-27173,-4851,-40341,1735,66854,13500,-14466,-34758,-33061,29778,-36814,-1876,-23857,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,109.233,123.004,118.349,165.88,198.432,162.735,121.993,109.826,82.663,127.035,39.821,301.098,135.193,149.286,125.763,779.476,175.81,227.578,138.118,111.266,175.9,263.7,256.5,388.3,2556.5,263.4,366,520,397.8,397.6,539.7,1492.5,1089,1815,548,862,882,865,669,34,1305,1114,1376,1792,957,1267,-1046,291,1390,0,1648,1790,2550,3335,2582,3525,2266,0,1794,4962,1973,2154,835,7829,3613,3602,4301,5262,4072,4816,6847,4426,1453,4471,1502,148,-2543,4791,4839,4465,5098,2938,4534,6481,2234,5265,3363,4452,4931,4615,5936,6754,7295,6891,7378,7232,6598,8916,6750,5841,7647,5846,14072,7381,6456,7372,10525,9314,5688,6129,5630,6391,-1523,15098,23147,-32721,27647,17759,20489,36801,-63049,35409,37930,45403,14528,35721,12484,48953,6957,-55308,-4258,22109,44752,45435,-16959,46938,15706,38137,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,22.442,26.5,25.864,37.241,50.937,41.698,26.303,23.12,13.332,26.769,-0.562,98.55,31.986,35.336,101.147,252.181,40.652,60.305,29.674,28.035,33.4,67.4,59.2,116.2,878.1,69.1,98.2,151.4,109.6,116.1,169.3,502.7,363,624,179,291,327,291,237,-3,464,395,479,680,339,473,-361,169,460,469,515,615,805,1078,766,1128,733,617,649,1570,600,691,232,2636,1242,1208,1451,1604,1388,1617,2197,1392,408,1443,294,-167,-1014,1520,1601,1431,1336,848,1415,2008,629,1725,953,1261,1565,1384,1882,2093,2278,2279,2225,2169,1825,2458,2029,1623,2414,1739,4545,1834,799,2290,3192,2959,1549,1774,1427,-26265,-452,3021,4440,-7330,5915,3586,3832,7571,-13352,9002,7517,9273,2688,7296,1840,9055,1252,-12066,-1560,3872,8995,9236,-4392,9180,2874,7639,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,86.791,96.504,92.485,128.639,147.495,121.037,95.69,86.706,69.331,100.266,40.383,202.548,103.207,113.95,24.616,527.295,135.158,167.273,108.444,92.656,142.5,196.3,197.3,272.1,1678.4,194.3,267.8,368.6,288.2,281.5,370.4,989.8,726,1191,369,571,555,574,432,37,841,719,897,1112,618,794,-685,122,930,1062,1133,1175,1745,2257,1816,2397,1533,1297,1145,3392,1373,1463,603,5193,2371,2394,2850,3658,2684,3199,4650,3034,1045,3028,1208,315,-1446,3384,3349,3154,3812,2090,3119,4473,1605,3540,2410,3191,3366,3231,4054,4661,5017,4612,5153,5063,4773,6458,4721,4218,5233,4107,9527,5547,5657,5082,7333,6355,4139,4355,4203,32656,-1071,12077,18707,-25391,21732,14173,16657,29230,-49697,26407,30413,36130,11840,28425,10644,39898,5705,-43242,-2698,18237,35757,36199,-12567,37758,12832,30498,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,0,0,70.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,86.791,96.504,92.485,128.639,147.495,121.037,95.69,86.706,69.331,100.266,40.383,202.548,32.223,113.95,24.616,527.295,135.158,167.273,108.444,83.231,142.5,196.3,197.3,272.1,1678.4,194.3,267.8,368.6,288.2,281.5,370.4,989.8,726,1191,369,571,555,574,432,37,841,719,897,1112,618,794,-685,122,930,-469,1133,1175,1745,2257,1816,2397,1533,-617,1145,3392,1373,1463,603,5193,2371,2394,2850,3658,2684,3199,4650,3034,1045,3028,1208,315,-1446,3384,3349,3154,3812,2090,3119,4473,1605,3540,2410,3191,3366,3231,4054,4661,5017,4612,5153,5063,4773,6458,4721,4218,5233,4107,9527,5547,5657,5082,7333,6355,4139,4355,4203,32656,-1071,12077,18707,-25391,21732,14173,16657,29230,-49697,26407,30413,36130,11840,28425,10644,39898,5705,-43242,-2698,18237,35757,36199,-12567,37758,12832,30498,
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,2.315,2.546,2.271,3.194,2.491,3.413,2.446,2.67,1.902,2.222,2.05,-0.931,2.472,1.987,1.822,3.682,2.268,2.626,2.624,1.215,3.3,4.3,2.8,2.9,9.7,3.1,3.8,3.9,3.8,3.7,3.8,17,4,15,4,4,14,2,12,13,34,79,100,28,12,21,-6,27,14,17,-8,-9,15,28,10,11,-17,15,8,53,10,14,17,63,58,47,78,75,89,81,97,87,105,148,151,198,88,89,111,98,179,122,130,96,94,123,132,143,121,123,134,110,125,71,100,73,68,63,104,63,69,94,99,69,68,81,135,69,79,93,136,105,67,66,167,1,71,100,133,71,49,112,276,295,129,331,300,252,125,379,100,157,253,287,200,184,130,150,
"Net Income, GAAP",NET_INCOME,84.476,93.958,90.214,125.445,145.004,117.624,93.244,84.036,67.429,98.044,38.333,203.479,29.751,111.963,22.794,523.613,132.89,164.647,105.82,91.441,139.2,192,194.5,269.2,1668.7,191.2,264,364.7,284.4,277.8,366.6,972.8,722,1176,365,567,541,572,420,24,807,640,797,1084,606,773,-679,95,916,1045,1141,1184,1730,2229,1806,2386,1550,1282,1137,3339,1363,1449,586,5130,2313,2347,2772,3583,2595,3118,4553,2947,940,2880,1057,117,-1534,3295,3238,3056,3633,1968,2989,4377,1511,3417,2278,3048,3245,3108,3920,4551,4892,4541,5053,4990,4705,6395,4617,4155,5164,4013,9428,5478,5589,5001,7198,6286,4060,4262,4067,32551,-1138,12011,18540,-25392,21661,14073,16524,29159,-49746,26295,30137,35835,11711,28094,10344,39646,5580,-43621,-2798,18080,35504,35912,-12767,37574,12702,30348,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,84.476,93.958,90.214,125.445,145.004,117.624,93.244,84.036,67.429,98.044,38.333,203.479,29.751,111.963,22.794,523.613,132.89,164.647,105.82,91.441,139.2,192,194.5,269.2,1668.7,191.2,264,364.7,284.4,277.8,366.6,972.8,722,1176,365,567,541,572,420,24,807,640,797,1084,606,773,-679,95,916,1045,1141,1184,1730,2229,1806,2386,1550,1282,1137,3339,1363,1449,586,5130,2313,2347,2772,3583,2595,3118,4553,2947,940,2880,1057,117,-1534,3295,3238,3056,3633,1968,2989,4377,1511,3417,2278,3048,3245,3108,3920,4551,4892,4541,5053,4990,4705,6395,4617,4155,5164,4013,9428,5478,5589,5001,7198,6286,4060,4262,4067,32551,-1138,12011,18540,-25392,21661,14073,16524,29159,-49746,26295,30137,35835,11711,28094,10344,39646,5580,-43621,-2798,18080,35504,35912,-12767,37574,12702,30348,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,84.476,93.958,90.214,125.445,145.004,117.624,93.244,84.036,67.429,98.044,38.333,203.479,29.751,111.963,22.794,523.613,132.89,164.647,105.82,91.441,139.2,192,194.5,269.2,1668.7,191.2,264,364.7,284.4,277.8,366.6,972.8,722,1176,365,567,541,572,420,24,807,640,797,1084,606,773,-679,95,916,1045,1141,1184,1730,2229,1806,2386,1550,1282,1137,3339,1363,1449,586,5130,2313,2347,2772,3583,2595,3118,4553,2947,940,2880,1057,117,-1534,3295,3238,3056,3633,1968,2989,4377,1511,3417,2278,3048,3245,3108,3920,4551,4892,4541,5053,4990,4705,6395,4617,4155,5164,4013,9428,5478,5589,5001,7198,6286,4060,4262,4067,32551,-1138,12011,18540,-25392,21661,14073,16524,29159,-49746,26295,30137,35835,11711,28094,10344,39646,5580,-43621,-2798,18080,35504,35912,-12767,37574,12702,30348,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,3239,-1515,-1183,-1027,-1411,1106,-202,-1367,82,-713,1534,-382,-580,612,-521,-1738,-1110,-622,-1391,-1214,-1172,-2064,107,-192,-920,-123,-4877,-805,-1852,-394,-2347,-1904,-504,-143,-623,-29213,6426,-5118,-11660,31112,-16106,-7934,-8452,-24448.25,55617,-20782,-24659,-30814,-4503,-21408,-3878,-32102,1562.62,52866.01,10637.35,-11268.77,-27400,-25869,23528,-28967,-1480,-18750,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,0,0,70.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,0,0,0,0,0,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
