Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
NVIDIA Corp (NVDA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  GPU,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9.1,,4.7,,4.2,,7,,8.2,,7.5,,1.9,,7,,14,,2,
  All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Depreciation and Amortization,,24.897,1.0,24.77,1.0,24.522,1.0,23.788,1.0,24.031,1.0,24.208,1.0,25.241,1.0,34.292,1.0,31.334,1.0,31.892,1.0,33.03,1.0,36.936,1.0,41.358,1.0,46.306,1.0,49.304,1.0,48.055,1.0,50.658,1.0,49.322,1.0,48.77,1.0,47.914,1.0,47.147,1.0,46.573,1.0,46.876,1.0,46.393,1.0,47.764,1.0,52.159,1.0,52.387,1.0,51.895,1.0,54.491,1.0,56.195,1.0,57.148,1.0,58.401,1.0,59.744,1.0,61.84,1.0,62.726,1.0,54.838,1.0,55,1.0,56,1.0
  GPU,,8.895,0.567427915284511,8.219,0.56612481057997,8.442,0.571951219512195,7.524,0.202961883952416,6.87,0.409855625820308,5.588,0.320394472793991,6.929,0.405702910006441,8.464,0.371651883727057,8.285,0.35772884283247,8.932,0.392788038698329,8.834,0.373451701543014,12.221,0.433307332293292,12.714,0.424833762154576,13.826,0.439996181141202,13.805,0.363998312503296,55.405,0.430143005760601,36.171,0.714023451379841,35.549,0.720753416325372,33.972,0.696575763789215,33.606,0.701381642108778,34.859,0.739368358538189,30.743,0.660103493440405,31.488,0.67302184414141,29.356,1.0,29.028,0.607738045389833,30.663,0.587864263803681,29.547,0.564013972932216,29.406,1.0,31.061,0.709495420178625,31.397,0.685568923728628,32.375,0.696805991993457,48.429,1.00855929026615,38.848,0.784506956925625,36.001,0.699972779592472,38.677,0.746069713161397,33.045,0.757600073364207,30,0.681818181818182,29,0.659090909090909
  Tegra Processor,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12.718,0.290504579821376,14.4,0.314431076271371,14.087,0.303194008006543,-0.411,-0.00855929026615019,10.671,0.215493043074375,15.431,0.300027220407528,13.164,0.253930286838603,10.573,0.242399926635793,14,0.318181818181818,15,0.340909090909091
  All Other,,7.641,,8.062,,7.887,,10.208,,8.109,,8.153,,8.162,,9.352,,9.162,,9.71,,10.054,,8.789,,11.641,,14.44,,15.174,,56.217,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10.712,,10.397,,10.686,,10.383,,10.225,,10.408,,10.885,,11.22,,11,,12,
  CPB,,—,,—,,—,,—,,3.786,0.225868034840711,5.787,0.331804369015538,3.774,0.220973124890216,4.726,0.207517344340037,6.095,0.263169257340242,5.004,0.220052770448549,5.676,0.23994927076728,4.707,0.16689122110339,4.918,0.164333210812978,4.6,0.146389587245012,4.864,0.128249749512208,19.372,0.150396720649659,7.309,0.144281258636346,6.562,0.133044077693524,8.15,0.167110928849703,6.902,0.144049755812497,6.893,0.146202303433941,8.629,0.1852790243274,7.516,0.16064634719788,—,,12.618,0.264173854786031,15.628,0.299616564417178,17.413,0.332391623876153,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  PSB,,—,,—,,—,,—,,1.828,0.109056198544326,1.659,0.0951206926208359,1.799,0.105334035950583,2.095,0.0919908667779046,2.187,0.0944300518134715,1.96,0.0861917326297273,1.926,0.0814204185161699,3.523,0.124911360090767,4.625,0.154542720620176,5.241,0.166788657989371,5.635,0.148578811369509,21.587,0.167593124543888,7.178,0.141695289983813,7.211,0.146202505981104,6.648,0.136313307361083,7.406,0.154568602078724,5.395,0.11442933802787,7.201,0.154617482232195,7.782,0.16633180866071,—,,6.118,0.128088099824135,5.869,0.112519171779141,5.427,0.103594403191632,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Consumer Electronics,,0.36,0.0229650421025772,0.337,0.0232125637140102,0.305,0.0206639566395664,0.55,0.0148363950257614,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Handheld GPU,,3.175,0.202538912988007,2.882,0.198512191761951,3.144,0.213008130081301,26.1,0.704054382131585,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  MCP,,3.246,0.207068129624904,3.08,0.212150433944069,2.869,0.194376693766938,2.897,0.0781473388902376,4.278,0.255220140794655,4.407,0.252680465569635,4.577,0.267989929152761,7.489,0.328839905155001,6.593,0.284671848013817,6.844,0.300967458223395,7.219,0.305178609173536,7.753,0.274890086512551,7.67,0.25629030641227,7.756,0.246825573624415,13.622,0.359173126614987,32.442,0.251867149045852,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,1.58,,2.19,,1.875,,-23.491,,-0.84,,-1.386,,—,,2.166,,-0.988,,-0.558,,-0.679,,-0.057,,-0.21,,0.443,,-3.796,,-136.968,,—,,—,,—,,—,,—,,—,,0.09,,17.037,,—,,-0.001,,—,,22.489,,—,,0.001,,—,,—,,—,,—,,—,,—,,—,,—,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
